,StateDesc,CityName,Category,Measure,Data_Value_Unit,DataValueTypeID,Data_Value,PopulationCount,Short_Question_Text
56,Alabama,Birmingham,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,19.8,212237.0,Health Insurance
57,Alabama,Birmingham,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,19.6,212237.0,Health Insurance
156,Alabama,Birmingham,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,31.0,212237.0,Arthritis
157,Alabama,Birmingham,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,30.9,212237.0,Arthritis
358,Alabama,Birmingham,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,44.1,212237.0,High Blood Pressure
359,Alabama,Birmingham,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,43.8,212237.0,High Blood Pressure
458,Alabama,Birmingham,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,70.1,212237.0,Taking BP Medication
459,Alabama,Birmingham,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,81.3,212237.0,Taking BP Medication
559,Alabama,Birmingham,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,5.7,212237.0,Cancer (except skin)
560,Alabama,Birmingham,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,5.7,212237.0,Cancer (except skin)
658,Alabama,Birmingham,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,11.5,212237.0,Current Asthma
659,Alabama,Birmingham,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,11.5,212237.0,Current Asthma
759,Alabama,Birmingham,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,7.6,212237.0,Coronary Heart Disease
760,Alabama,Birmingham,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,7.7,212237.0,Coronary Heart Disease
859,Alabama,Birmingham,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,76.8,212237.0,Annual Checkup
860,Alabama,Birmingham,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,76.7,212237.0,Annual Checkup
962,Alabama,Birmingham,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,75.8,212237.0,Cholesterol Screening
963,Alabama,Birmingham,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,74.8,212237.0,Cholesterol Screening
1162,Alabama,Birmingham,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,9.0,212237.0,COPD
1163,Alabama,Birmingham,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,9.1,212237.0,COPD
1657,Alabama,Birmingham,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,16.8,212237.0,Diabetes
1658,Alabama,Birmingham,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,16.8,212237.0,Diabetes
1757,Alabama,Birmingham,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,35.3,212237.0,High Cholesterol
1758,Alabama,Birmingham,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,39.2,212237.0,High Cholesterol
1857,Alabama,Birmingham,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,3.5,212237.0,Chronic Kidney Disease
1858,Alabama,Birmingham,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,3.6,212237.0,Chronic Kidney Disease
2157,Alabama,Birmingham,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,15.6,212237.0,Mental Health
2158,Alabama,Birmingham,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,15.6,212237.0,Mental Health
2451,Alabama,Birmingham,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,16.4,212237.0,Physical Health
2452,Alabama,Birmingham,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,16.4,212237.0,Physical Health
2653,Alabama,Birmingham,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,5.2,212237.0,Stroke
2654,Alabama,Birmingham,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,5.2,212237.0,Stroke
2850,Alabama,Hoover,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,9.9,81619.0,Health Insurance
2851,Alabama,Hoover,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,9.7,81619.0,Health Insurance
2881,Alabama,Hoover,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,24.4,81619.0,Arthritis
2882,Alabama,Hoover,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,25.3,81619.0,Arthritis
2943,Alabama,Hoover,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,29.7,81619.0,High Blood Pressure
2944,Alabama,Hoover,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,30.7,81619.0,High Blood Pressure
2974,Alabama,Hoover,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,63.3,81619.0,Taking BP Medication
2975,Alabama,Hoover,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,77.7,81619.0,Taking BP Medication
3005,Alabama,Hoover,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.4,81619.0,Cancer (except skin)
3006,Alabama,Hoover,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,6.6,81619.0,Cancer (except skin)
3036,Alabama,Hoover,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,8.6,81619.0,Current Asthma
3037,Alabama,Hoover,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,8.6,81619.0,Current Asthma
3067,Alabama,Hoover,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,4.8,81619.0,Coronary Heart Disease
3068,Alabama,Hoover,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,5.0,81619.0,Coronary Heart Disease
3098,Alabama,Hoover,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,73.3,81619.0,Annual Checkup
3099,Alabama,Hoover,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,73.6,81619.0,Annual Checkup
3129,Alabama,Hoover,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,81.2,81619.0,Cholesterol Screening
3130,Alabama,Hoover,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,82.1,81619.0,Cholesterol Screening
3192,Alabama,Hoover,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,5.0,81619.0,COPD
3193,Alabama,Hoover,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,5.2,81619.0,COPD
3343,Alabama,Hoover,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,7.8,81619.0,Diabetes
3344,Alabama,Hoover,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,8.1,81619.0,Diabetes
3374,Alabama,Hoover,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,32.2,81619.0,High Cholesterol
3375,Alabama,Hoover,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,35.9,81619.0,High Cholesterol
